system:index,id,.geo
1_1_LT05_022039_20090411,1_1_LT05_022039_20090411,
1_1_LT05_022039_20090513,1_1_LT05_022039_20090513,
1_1_LT05_022039_20090529,1_1_LT05_022039_20090529,
1_1_LT05_022039_20090614,1_1_LT05_022039_20090614,
1_1_LT05_022039_20090630,1_1_LT05_022039_20090630,
1_1_LT05_022039_20090716,1_1_LT05_022039_20090716,
1_1_LT05_022039_20090801,1_1_LT05_022039_20090801,
1_1_LT05_022039_20090817,1_1_LT05_022039_20090817,
1_1_LT05_022039_20090902,1_1_LT05_022039_20090902,
1_1_LT05_022039_20090918,1_1_LT05_022039_20090918,
1_1_LT05_022039_20091020,1_1_LT05_022039_20091020,
1_1_LT05_022039_20091105,1_1_LT05_022039_20091105,
1_1_LT05_022039_20100225,1_1_LT05_022039_20100225,
1_1_LT05_022039_20100329,1_1_LT05_022039_20100329,
1_1_LT05_022039_20100414,1_1_LT05_022039_20100414,
1_1_LT05_022039_20100601,1_1_LT05_022039_20100601,
1_1_LT05_022039_20100617,1_1_LT05_022039_20100617,
1_1_LT05_022039_20100703,1_1_LT05_022039_20100703,
1_1_LT05_022039_20100719,1_1_LT05_022039_20100719,
1_1_LT05_022039_20100804,1_1_LT05_022039_20100804,
1_1_LT05_022039_20100820,1_1_LT05_022039_20100820,
1_1_LT05_022039_20100905,1_1_LT05_022039_20100905,
1_1_LT05_022039_20100921,1_1_LT05_022039_20100921,
1_1_LT05_022039_20101007,1_1_LT05_022039_20101007,
1_1_LT05_022039_20101023,1_1_LT05_022039_20101023,
1_1_LT05_022039_20101108,1_1_LT05_022039_20101108,
1_1_LT05_022039_20101124,1_1_LT05_022039_20101124,
1_1_LT05_022039_20101210,1_1_LT05_022039_20101210,
1_1_LT05_022039_20110127,1_1_LT05_022039_20110127,
1_1_LT05_022039_20110212,1_1_LT05_022039_20110212,
1_1_LT05_022039_20110316,1_1_LT05_022039_20110316,
1_1_LT05_022039_20110401,1_1_LT05_022039_20110401,
1_1_LT05_022039_20110417,1_1_LT05_022039_20110417,
1_1_LT05_022039_20110519,1_1_LT05_022039_20110519,
1_1_LT05_022039_20110604,1_1_LT05_022039_20110604,
1_1_LT05_022039_20110620,1_1_LT05_022039_20110620,
1_1_LT05_022039_20110706,1_1_LT05_022039_20110706,
1_1_LT05_022039_20110722,1_1_LT05_022039_20110722,
1_1_LT05_022039_20110807,1_1_LT05_022039_20110807,
1_1_LT05_022039_20110823,1_1_LT05_022039_20110823,
1_1_LT05_022039_20110908,1_1_LT05_022039_20110908,
1_1_LT05_022039_20110924,1_1_LT05_022039_20110924,
1_1_LT05_022039_20111010,1_1_LT05_022039_20111010,
1_1_LT05_022039_20111026,1_1_LT05_022039_20111026,
